"region_name","region_type","full_address"
上庄镇,4,北京市|北京市|海淀区|上庄镇|||||
四季青镇,4,北京市|北京市|海淀区|四季青镇|||||
苏家坨镇,4,北京市|北京市|海淀区|苏家坨镇|||||
温泉镇,4,北京市|北京市|海淀区|温泉镇|||||
怀柔镇,4,北京市|北京市|怀柔区|怀柔镇|||||
庙城镇,4,北京市|北京市|怀柔区|庙城镇|||||
龙泉镇,4,北京市|北京市|门头沟区|龙泉镇|||||
金海湖镇,4,北京市|北京市|平谷区|金海湖镇|||||
王平镇,4,北京市|北京市|门头沟区|王平镇|||||
马坊镇,4,北京市|北京市|平谷区|马坊镇|||||
峪口镇,4,北京市|北京市|平谷区|峪口镇|||||
后沙峪镇,4,北京市|北京市|顺义区|后沙峪镇|||||
马坡镇,4,北京市|北京市|顺义区|马坡镇|||||
南法信镇,4,北京市|北京市|顺义区|南法信镇|||||
牛栏山镇,4,北京市|北京市|顺义区|牛栏山镇|||||
仁和镇,4,北京市|北京市|顺义区|仁和镇|||||
天竺镇,4,北京市|北京市|顺义区|天竺镇|||||
海淀镇,4,北京市|北京市|海淀区|海淀镇|||||
瀛海镇,4,北京市|北京市|大兴区|瀛海镇|||||
亦庄镇,4,北京市|北京市|大兴区|亦庄镇|||||
旧宫镇,4,北京市|北京市|大兴区|旧宫镇|||||
平谷镇,4,北京市|北京市|平谷区|平谷镇|||||
首钢矿山街道,4,北京市|北京市|石景山区|首钢矿山街道|||||
旧宫港,4,北京市|北京市|经济技术开发区|旧宫港|||||
凤河港,4,北京市|北京市|经济技术开发区|凤河港|||||
通明湖港,4,北京市|北京市|经济技术开发区|通明湖港|||||
亦庄港,4,北京市|北京市|经济技术开发区|亦庄港|||||
经海港,4,北京市|北京市|经济技术开发区|经海港|||||
马驹桥港,4,北京市|北京市|经济技术开发区|马驹桥港|||||
荣华港,4,北京市|北京市|经济技术开发区|荣华港|||||
博兴港,4,北京市|北京市|经济技术开发区|博兴港|||||
瀛海港,4,北京市|北京市|经济技术开发区|瀛海港|||||
永康港,4,北京市|北京市|经济技术开发区|永康港|||||
台湖港,4,北京市|北京市|经济技术开发区|台湖港|||||
迴城港,4,北京市|北京市|经济技术开发区|迴城港|||||
檀营地区,4,北京市|北京市|密云区|檀营地区|||||
大兴生物医药产业基地,4,北京市|北京市|大兴区|大兴生物医药产业基地|||||
荣华街道,4,北京市|北京市|经济技术开发区|荣华街道|||||
博兴街道,4,北京市|北京市|经济技术开发区|博兴街道|||||
经济技术开发区,3,北京市|北京市|经济技术开发区||||||
马池口镇,4,北京市|北京市|昌平区|马池口镇|||||
高碑店乡,4,北京市|北京市|朝阳区|高碑店乡|||||
东小口镇,4,北京市|北京市|昌平区|东小口镇|||||
南口镇,4,北京市|北京市|昌平区|南口镇|||||
崔各庄乡,4,北京市|北京市|朝阳区|崔各庄乡|||||
常营回族乡,4,北京市|北京市|朝阳区|常营回族乡|||||
东风乡,4,北京市|北京市|朝阳区|东风乡|||||
豆各庄乡,4,北京市|北京市|朝阳区|豆各庄乡|||||
东城区,3,北京市|北京市|东城区||||||
东华门街道,4,北京市|北京市|东城区|东华门街道|||||
景山街道,4,北京市|北京市|东城区|景山街道|||||
交道口街道,4,北京市|北京市|东城区|交道口街道|||||
北京市,2,北京市|北京市|||||||
安定门街道,4,北京市|北京市|东城区|安定门街道|||||
北新桥街道,4,北京市|北京市|东城区|北新桥街道|||||
东四街道,4,北京市|北京市|东城区|东四街道|||||
朝阳门街道,4,北京市|北京市|东城区|朝阳门街道|||||
建国门街道,4,北京市|北京市|东城区|建国门街道|||||
东直门街道,4,北京市|北京市|东城区|东直门街道|||||
和平里街道,4,北京市|北京市|东城区|和平里街道|||||
前门街道,4,北京市|北京市|东城区|前门街道|||||
